net,length_um
fifo_wr_en,31.56µm
_0429_,31.54µm
u_srf_ctrl.timer\[3\],31.52µm
u_uart.bit_index\[2\],31.5µm
u_srf_ctrl.timer\[8\],31.42µm
u_packet_assembler.timer\[11\],31.28µm
u_packet_assembler.timer\[1\],31.14µm
_0509_,30.76µm
_0410_,30.7µm
_0711_,30.6µm
_0286_,30.52µm
u_srf_ctrl.echo_counter\[14\],30.34µm
_0459_,30.24µm
u_srf_ctrl.timer\[11\],30.08µm
_0516_,29.56µm
_0729_,29.4µm
net11,29.2µm
_0481_,29.02µm
_0532_,28.92µm
distance_out\[5\],28.74µm
_0527_,28.44µm
_0500_,28.42µm
_0567_,28.02µm
_0398_,27.9µm
u_max30102_ctrl.clk_div\[2\],27.88µm
_0426_,27.84µm
u_srf_ctrl.echo_counter\[2\],27.76µm
_0735_,27.74µm
u_srf_ctrl.timer\[9\],27.36µm
_0732_,27.32µm
u_srf_ctrl.timer\[16\],27.14µm
_0347_,26.76µm
_0538_,26.76µm
u_srf_ctrl.timer\[0\],26.4µm
_0329_,26.32µm
_0596_,26.3µm
_0648_,26.07µm
u_uart.tx_data_reg\[6\],25.9µm
_0740_,25.74µm
_0333_,25.48µm
_0561_,25.38µm
net224,25.2µm
u_fifo.mem\[4\]\[4\],25.06µm
u_fifo.wr_ptr\[1\],24.98µm
u_packet_assembler.timer\[8\],24.82µm
u_srf_ctrl.timer\[17\],24.56µm
u_uart.bit_index\[1\],24.46µm
u_max30102_ctrl.clk_div\[5\],24.28µm
u_uart.tx_data_reg\[1\],24.22µm
_0327_,24.1µm
_0502_,23.84µm
_0513_,23.84µm
_0491_,23.48µm
_0719_,23.38µm
u_max30102_ctrl.clk_div\[13\],23.34µm
u_fifo.mem\[5\]\[5\],23.22µm
_0699_,23.04µm
_0714_,22.925µm
u_packet_assembler.timer\[4\],22.84µm
u_fifo.mem\[2\]\[4\],22.8µm
_0452_,22.66µm
_0287_,22.52µm
u_packet_assembler.timer\[2\],22.36µm
_0536_,22.16µm
_0386_,22.12µm
u_fifo.mem\[14\]\[4\],22.065µm
u_fifo.mem\[13\]\[5\],22.045µm
u_fifo.mem\[6\]\[4\],22.04µm
_0737_,22µm
_0417_,21.97µm
u_srf_ctrl.timer\[6\],21.94µm
u_max30102_ctrl.clk_div\[1\],21.84µm
_0623_,21.76µm
_0650_,21.73µm
u_packet_assembler.timer\[14\],21.52µm
_0418_,21.5µm
u_srf_ctrl.echo_counter\[13\],21.5µm
_0588_,21.44µm
_0384_,21.38µm
_0632_,21.28µm
u_max30102_ctrl.clk_div\[4\],21.28µm
u_srf_ctrl.timer\[19\],21.22µm
_0715_,21.14µm
_0731_,21.12µm
u_max30102_ctrl.clk_div\[12\],21.12µm
u_fifo.mem\[1\]\[3\],21.08µm
_0728_,20.82µm
u_srf_ctrl.state\[0\],20.8µm
_0624_,20.5µm
_0645_,20.5µm
u_max30102_ctrl.clk_div\[11\],20.4µm
u_fifo.mem\[14\]\[6\],20.34µm
_0437_,20.32µm
_0727_,20.2µm
u_packet_assembler.timer\[9\],20.14µm
u_packet_assembler.timer\[12\],20.12µm
_0485_,20.02µm
_0542_,20µm
_0559_,19.84µm
u_packet_assembler.timer\[13\],19.84µm
_0321_,19.74µm
u_srf_ctrl.timer\[18\],19.72µm
u_srf_ctrl.timer\[1\],19.58µm
net211,19.54µm
_0461_,19.52µm
_0636_,19.46µm
_0257_,19.4µm
_0590_,19.36µm
_0362_,19.32µm
_0551_,19µm
_0024_,18.98µm
_0486_,18.98µm
net204,18.94µm
u_max30102_ctrl.clk_div\[7\],18.92µm
distance_out\[4\],18.86µm
_0646_,18.38µm
u_max30102_ctrl.clk_div\[10\],18.36µm
u_srf_ctrl.timer\[2\],18.36µm
u_srf_ctrl.timer\[12\],18.34µm
net71,18.2µm
_0337_,18.1µm
u_uart.clk_count\[3\],18.06µm
u_srf_ctrl.timer\[20\],18.02µm
_0664_,17.74µm
_0635_,17.7µm
_0722_,17.6µm
_0338_,17.52µm
_0548_,17.52µm
u_fifo.mem\[7\]\[0\],17.52µm
_0385_,17.48µm
u_srf_ctrl.echo_counter\[12\],17.32µm
u_uart.tx_data_reg\[3\],17.32µm
u_fifo.mem\[7\]\[4\],17.06µm
u_uart.clk_count\[7\],17.06µm
_0440_,16.94µm
u_fifo.mem\[9\]\[1\],16.78µm
_0364_,16.72µm
u_fifo.mem\[10\]\[3\],16.62µm
u_packet_assembler.timer\[15\],16.54µm
u_fifo.mem\[0\]\[5\],16.52µm
net214,16.44µm
u_fifo.mem\[4\]\[3\],16.4µm
u_max30102_ctrl.clk_div\[8\],16.06µm
u_uart.clk_count\[9\],16.06µm
u_fifo.mem\[1\]\[5\],16.04µm
_0630_,15.98µm
_0443_,15.96µm
u_uart.state\[0\],15.96µm
u_fifo.mem\[13\]\[7\],15.94µm
_0371_,15.92µm
u_fifo.mem\[9\]\[7\],15.86µm
u_uart.tx_data_reg\[5\],15.86µm
_0449_,15.74µm
_0657_,15.68µm
_0640_,15.57µm
_0570_,15.56µm
