net,length_um
_0026_,4.34µm
_0081_,4.34µm
_0348_,4.34µm
_0424_,4.34µm
_0591_,4.34µm
_0619_,4.34µm
u_fifo.mem\[7\]\[2\],4.34µm
net125,4.34µm
net196,4.34µm
net202,4.34µm
net272,4.34µm
net76,4.24µm
net148,4.24µm
net220,4.24µm
_0411_,4.22µm
_0541_,4.22µm
net279,4.22µm
_0457_,4.2µm
_0116_,4.165µm
_0120_,4.165µm
_0132_,4.165µm
_0144_,4.165µm
_0334_,4.14µm
_0408_,4.14µm
_0293_,4.12µm
_0693_,4.08µm
_0225_,4.045µm
_0392_,4.02µm
_0397_,4.02µm
_0238_,4µm
_0268_,4µm
_0682_,4µm
net1,4µm
net159,4µm
net229,4µm
net238,4µm
_0194_,3.925µm
_0206_,3.925µm
_0326_,3.88µm
_0498_,3.88µm
_0508_,3.88µm
_0537_,3.88µm
_0568_,3.88µm
fifo_din\[0\],3.88µm
net3,3.88µm
net231,3.88µm
net240,3.88µm
_0221_,3.78µm
_0223_,3.78µm
net77,3.78µm
net84,3.78µm
net131,3.78µm
net182,3.78µm
net197,3.78µm
net200,3.78µm
net228,3.78µm
_0019_,3.76µm
_0096_,3.76µm
_0215_,3.76µm
u_fifo.wr_ptr\[4\],3.76µm
net86,3.76µm
_0003_,3.685µm
_0686_,3.68µm
net208,3.68µm
net257,3.68µm
net276,3.68µm
_0044_,3.66µm
_0701_,3.66µm
u_fifo.mem\[15\]\[1\],3.64µm
_0416_,3.6µm
_0578_,3.56µm
_0679_,3.56µm
_0049_,3.54µm
_0244_,3.54µm
_0616_,3.54µm
_0694_,3.54µm
net232,3.54µm
net273,3.54µm
_0102_,3.465µm
_0114_,3.465µm
_0115_,3.465µm
_0118_,3.465µm
_0126_,3.465µm
_0130_,3.465µm
_0133_,3.465µm
_0140_,3.465µm
_0151_,3.465µm
_0154_,3.465µm
_0159_,3.465µm
_0180_,3.465µm
_0183_,3.465µm
_0187_,3.465µm
_0229_,3.465µm
_0379_,3.44µm
_0435_,3.44µm
_0583_,3.44µm
_0028_,3.42µm
_0085_,3.42µm
_0543_,3.42µm
net108,3.42µm
net172,3.42µm
net192,3.42µm
net242,3.42µm
_0125_,3.345µm
_0139_,3.345µm
_0148_,3.345µm
_0220_,3.32µm
net194,3.32µm
u_packet_assembler.timer\[17\],3.3µm
_0107_,3.245µm
_0127_,3.245µm
_0190_,3.245µm
_0198_,3.245µm
_0448_,3.22µm
_0514_,3.22µm
net144,3.22µm
_0082_,3.2µm
_0091_,3.2µm
_0216_,3.2µm
_0255_,3.2µm
_0259_,3.2µm
_0264_,3.2µm
_0489_,3.18µm
_0633_,3.18µm
_0236_,3.165µm
_0075_,3.145µm
_0234_,3.145µm
_0233_,3.125µm
_0271_,3.1µm
_0442_,3.1µm
_0674_,3.1µm
net262,3.1µm
_0001_,3.08µm
_0016_,3.08µm
_0065_,3.08µm
_0078_,3.08µm
_0241_,3.08µm
_0277_,3.08µm
_0340_,3.08µm
_0355_,3.08µm
_0466_,3.08µm
_0620_,3.08µm
net70,3.08µm
net88,3.08µm
net245,3.08µm
net255,3.08µm
_0176_,3.045µm
_0071_,3.005µm
_0100_,3.005µm
_0168_,3.005µm
_0172_,3.005µm
_0182_,3.005µm
_0184_,3.005µm
_0201_,3.005µm
_0009_,2.98µm
_0566_,2.98µm
_0439_,2.96µm
_0484_,2.96µm
_0698_,2.96µm
fifo_dout\[3\],2.96µm
_0104_,2.885µm
_0195_,2.88µm
net109,2.86µm
_0217_,2.84µm
_0267_,2.84µm
net67,2.84µm
_0111_,2.835µm
_0112_,2.785µm
_0134_,2.785µm
_0141_,2.785µm
_0173_,2.785µm
_0197_,2.785µm
_0203_,2.785µm
_0208_,2.785µm
_0235_,2.785µm
_0005_,2.76µm
net112,2.76µm
net150,2.76µm
net209,2.76µm
net210,2.76µm
net222,2.76µm
net247,2.76µm
net253,2.76µm
_0088_,2.74µm
_0242_,2.74µm
_0252_,2.74µm
_0256_,2.74µm
net152,2.74µm
_0163_,2.715µm
_0179_,2.715µm
_0199_,2.715µm
_0473_,2.68µm
_0186_,2.665µm
_0428_,2.64µm
_0587_,2.64µm
_0007_,2.62µm
_0013_,2.62µm
_0029_,2.62µm
_0031_,2.62µm
_0058_,2.62µm
_0062_,2.62µm
_0237_,2.62µm
_0365_,2.62µm
_0512_,2.62µm
u_packet_assembler.timer\[22\],2.62µm
net185,2.62µm
_0135_,2.585µm
_0174_,2.585µm
_0202_,2.585µm
_0205_,2.585µm
_0073_,2.545µm
_0142_,2.545µm
_0145_,2.545µm
_0160_,2.545µm
_0169_,2.545µm
_0335_,2.5µm
_0345_,2.5µm
_0433_,2.5µm
_0471_,2.5µm
_0497_,2.5µm
fifo_din\[5\],2.5µm
_0164_,2.485µm
_0165_,2.485µm
_0046_,2.465µm
net90,2.4µm
net100,2.4µm
net104,2.4µm
net127,2.4µm
net188,2.4µm
_0178_,2.375µm
_0103_,2.325µm
_0109_,2.325µm
_0113_,2.325µm
_0121_,2.325µm
_0129_,2.325µm
_0136_,2.325µm
_0181_,2.325µm
_0185_,2.325µm
_0188_,2.325µm
_0207_,2.325µm
_0209_,2.325µm
_0228_,2.325µm
_0059_,2.3µm
_0441_,2.3µm
_0598_,2.3µm
_0606_,2.3µm
net73,2.3µm
net74,2.3µm
net78,2.3µm
net81,2.3µm
net82,2.3µm
net83,2.3µm
net91,2.3µm
net92,2.3µm
net102,2.3µm
net103,2.3µm
net105,2.3µm
net106,2.3µm
net110,2.3µm
net113,2.3µm
net114,2.3µm
net116,2.3µm
net119,2.3µm
net122,2.3µm
net132,2.3µm
net133,2.3µm
net142,2.3µm
net145,2.3µm
net169,2.3µm
net175,2.3µm
net176,2.3µm
net181,2.3µm
net186,2.3µm
net190,2.3µm
net205,2.3µm
net206,2.3µm
net212,2.3µm
net218,2.3µm
net226,2.3µm
net251,2.3µm
_0053_,2.28µm
_0055_,2.28µm
_0090_,2.28µm
_0745_,2.28µm
_0094_,2.18µm
_0213_,2.18µm
_0052_,2.16µm
_0060_,2.16µm
_0571_,2.16µm
_0594_,2.16µm
_0595_,2.16µm
_0716_,2.16µm
u_fifo.mem\[0\]\[0\],2.16µm
net69,2.16µm
net155,2.16µm
net219,2.16µm
_0069_,2.125µm
_0166_,2.125µm
_0157_,2.085µm
_0251_,2.04µm
_0288_,2.04µm
_0357_,2.04µm
_0556_,2.04µm
_0725_,2.04µm
net72,2.04µm
net207,2.04µm
_0101_,2.025µm
_0147_,2.025µm
net123,1.94µm
net174,1.94µm
_0076_,1.865µm
_0098_,1.865µm
_0122_,1.865µm
_0124_,1.865µm
_0153_,1.865µm
_0161_,1.865µm
_0193_,1.865µm
_0196_,1.865µm
_0200_,1.865µm
_0224_,1.865µm
_0231_,1.865µm
_0250_,1.845µm
_0006_,1.84µm
_0011_,1.84µm
_0015_,1.84µm
_0422_,1.84µm
net156,1.84µm
net160,1.84µm
net164,1.84µm
net165,1.84µm
net167,1.84µm
net168,1.84µm
net199,1.84µm
net252,1.84µm
net277,1.84µm
_0017_,1.82µm
_0025_,1.82µm
_0032_,1.82µm
_0051_,1.82µm
_0087_,1.82µm
_0211_,1.82µm
_0261_,1.82µm
_0269_,1.82µm
_0276_,1.82µm
_0022_,1.745µm
_0558_,1.72µm
fifo_din\[6\],1.72µm
net261,1.72µm
_0014_,1.7µm
_0018_,1.7µm
_0038_,1.7µm
_0067_,1.7µm
_0243_,1.7µm
_0274_,1.7µm
_0353_,1.7µm
_0389_,1.7µm
_0506_,1.7µm
_0083_,1.545µm
_0131_,1.405µm
_0177_,1.405µm
_0463_,1.38µm
_0524_,1.38µm
net223,1.38µm
net265,1.38µm
net270,1.38µm
net281,1.38µm
_0054_,1.36µm
_0218_,1.36µm
_0545_,1.36µm
_0464_,1.14µm
_0639_,1.14µm
net130,1.02µm
net189,1.02µm
_0615_,0.92µm
net230,0.92µm
_0341_,0.8µm
_0581_,0.8µm
fifo_dout\[4\],0.8µm
net227,0.8µm
net217,0.46µm
net236,0.46µm
net250,0.46µm
net258,0.46µm
net263,0.46µm
net271,0.46µm
